what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306432942984
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306432943093
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.edit.text.openLocalFile",1306432943093
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1306432944375
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1306432944765
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1306432945562
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306432947453
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306433093015
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1306433093031
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306433094750
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306433100578
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306433101468
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306433627734
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306433630203
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306433643203
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306433644890
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306433832296
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306433833140
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306434283093
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1306434284593
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306434297906
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306434299625
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306434314281
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1306434317734
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306434317906
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306434318000
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306434327296
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306434330328
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1306434343031
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306434344265
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306434344437
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1306434346375
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1306434346515
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1306434347328
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1306434348687
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1306434357375
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306434358234
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306434443765
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1306434443765
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306434447984
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306434477265
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.export",1306434477296
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.export",1306434477296
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306434479703
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306439869546
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306439873734
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306439887734
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306439892593
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306439896234
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306439907593
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306442129281
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306442129359
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306442130859
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1306442134890
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1306442143046
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1306442170453
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306442190703
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306442190875
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.ClassFileEditor",1306442196453
